ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,StartY_flipped,EndY_flipped,Order,Stimulus,SearchOrCount
cass1,1,69,19244,19298,56,157,526.7,698.5,747.3,560.2,232.57,FALSE,RIGHT,12.12,RIGHT,Visual foraging,524.3,303.70000000000005,1,sheep.jpg,Search
cass1,1,70,19742,19766,26,714.9,756.6,834.8,824.3,222.16,111.76,FALSE,RIGHT,2.92,RIGHT,Visual foraging,294.4,226.70000000000005,1,sheep.jpg,Search
cass1,1,71,19986,20030,46,813.3,821.6,1363.6,870.1,474.09,239.61,FALSE,RIGHT,10.94,RIGHT,Visual foraging,229.39999999999998,180.89999999999998,1,sheep.jpg,Search
cass1,1,72,20306,20340,36,1351.7,877.7,1517.1,659.1,381.91,172.34,FALSE,UP,6.05,RIGHT,Visual foraging,173.29999999999995,391.9,1,sheep.jpg,Search
cass1,1,73,20608,20636,30,1521.4,656.9,1437.3,566.3,162.03,92.54,FALSE,UP,2.76,RIGHT,Visual foraging,394.1,484.70000000000005,1,sheep.jpg,Search
cass1,1,74,20924,20954,32,1434.4,566.5,1220.6,550.7,237.58,132.88,FALSE,LEFT,4.34,RIGHT,Visual foraging,484.5,500.29999999999995,1,sheep.jpg,Search
cass1,2,1,152,204,54,1218.3,562.9,738.5,569.7,419.15,195.9,FALSE,LEFT,9.89,RIGHT,Visual foraging,488.1,481.29999999999995,1,flower.jpg,Search
cass1,2,2,484,518,36,717.1,572.7,841,569.2,255.52,109.43,FALSE,RIGHT,2.58,RIGHT,Visual foraging,478.29999999999995,481.79999999999995,1,flower.jpg,Search
cass1,2,3,700,830,132,857.2,584.3,857.8,505.7,1102.87,463.3,TRUE,UP,1.99,RIGHT,Visual foraging,466.70000000000005,545.3,1,flower.jpg,Search
cass1,2,4,1006,1026,22,856.8,494,824.4,549.1,130.14,72.18,FALSE,DOWN,1.56,RIGHT,Visual foraging,557,501.9,1,flower.jpg,Search
cass1,2,5,1474,1504,32,840.2,545.8,1028.2,774.9,439.28,216.49,FALSE,DOWN,6.83,RIGHT,Visual foraging,505.20000000000005,276.1,1,flower.jpg,Search
cass1,2,6,1738,1758,22,1012,792.7,936.8,856.2,165.65,92.64,FALSE,LEFT,2.13,RIGHT,Visual foraging,258.29999999999995,194.79999999999995,1,flower.jpg,Search
cass1,2,7,1934,1980,48,948.9,853.3,890.3,616.5,363.09,143.44,FALSE,UP,5.84,RIGHT,Visual foraging,197.70000000000005,434.5,1,flower.jpg,Search
cass1,2,8,2242,2260,20,900.5,600.4,843.8,568.5,104.22,66.27,FALSE,LEFT,1.43,RIGHT,Visual foraging,450.6,482.5,1,flower.jpg,Search
cass1,2,9,2770,2814,46,830.2,576,1096.1,355.4,313.5,185.19,FALSE,UP,7.93,RIGHT,Visual foraging,475,695.6,1,flower.jpg,Search
cass1,2,10,2952,2978,28,1085.2,365.5,1138.5,262.1,206.73,106.66,FALSE,UP,2.92,RIGHT,Visual foraging,685.5,788.9,1,flower.jpg,Search
cass1,2,11,3192,3240,50,1128.2,275.5,826.6,448.7,448.75,171.95,FALSE,LEFT,7.78,RIGHT,Visual foraging,775.5,602.3,1,flower.jpg,Search
